st1,st2,st3,lon,lat,area
950145,02P102,960530,139.84080715406998,42.000018215802896,
940020,02P102,950145,139.656949148376,42.1168462671627,169294068.06932345
02P102,940020,960527,139.471035608256,42.0934006202952,12244195.64104512
950140,020888,950143,140.191466294649,42.470208818706894,
940021,950145,960530,140.04682967642398,41.9764498258776,117794465.56749593
970794,940021,960530,140.16924694347298,41.911124314415396,261392155.7638512
950145,940021,950143,140.106574054722,42.123318790179,192483164.44695455
940021,970794,950143,140.228991321771,42.0579932787168,334362842.74247324
081173,020892,020894,141.04122264384898,41.6760787733202,341044759.7210188
950139,081173,950141,141.50714265385497,42.284128554594304,
020855,950110,970782,142.081921493556,44.2254329017446,599605357.2252562
020860,950110,020855,141.947342016183,44.121102890455795,346535264.0950983
950110,020860,960509,141.947900453667,43.9288475909085,400858395.9318891
020870,020864,940004,144.802767028458,43.7475068391306,606455129.8771558
020870,950113,020864,144.90646378441198,43.6254217985223,293302936.59172916
960513,950122,940005,144.270124721349,43.3888710219657,418384493.3096578
02P119,940076,021025,131.661946058643,34.6193468897496,11519987.616926437
940076,02P119,950407,131.53070271762297,34.5578577479454,16108668.666631056
081167,950341,960645,134.57033366746202,35.5276379925555,131687917.5632408
960680,970829,031117,132.49585156975198,33.4987572212568,96908764.67503415
021046,141205,970830,133.299972749592,33.86252405660189,175245573.17407134
960658,950388,021025,131.902482215955,34.6507852525989,178433091.2337229
950399,021022,940075,132.27739791730198,34.9170449492997,256843972.3023042
021018,950384,021020,132.84268295647797,35.3945434563402,154497177.0347815
950384,021018,950383,132.86990873362797,35.655678713202896,
021088,950483,02P211,131.40293985185403,31.676660696465397,76210427.2473189
960715,950483,021088,131.368611305052,31.7650286747838,123927126.92995043
021096,02P212,111190,127.656974985804,26.1646783864884,8087869.859946554
02P212,021096,021095,127.68829996632599,26.2375800122634,16707406.96684785
960745,021096,111190,127.710627816651,26.1497739190842,84370034.42614801
02P124,021096,960745,127.76338680689098,26.1782650543524,8727251.263165522
021096,02P124,021095,127.741449567501,26.2262959011207,103094175.3807492
02P124,960745,021094,127.86872410210799,26.2421813914128,11906171.408805253
960741,950496,021095,127.81773355167299,26.482166452173296,50699187.280980386
960741,960740,950496,127.88840175747899,26.538832866965098,178240895.3588648
02P124,960741,021095,127.7931440742,26.310403448524802,101075272.51826265
960740,960741,021094,127.92014099990399,26.436021445802098,78581109.94143969
960741,02P124,021094,127.87090680381598,26.334944540503496,240659119.01050246
141208,960733,960734,129.028039022355,27.9218443039899,
960734,960733,960729,129.293959187679,28.5203290175331,
960733,950494,960729,129.492122276055,28.7144601931407,
950494,960733,960732,129.564090738489,28.274054479449898,
960732,960733,950497,130.14362369939698,27.418182338223602,
960733,960735,950497,129.720017437593,27.120631428956997,
960733,141208,960735,128.946796974039,27.783392351236497,
950484,960715,950482,131.168621309385,31.680760693424702,510093497.75838244
950484,950483,960715,131.28439420760398,31.6595066730393,200128776.4796091
950492,960746,02P211,131.208275646888,29.3509193631918,
950492,960726,960746,131.03960170263602,28.9581946729218,
950459,960690,950458,129.640957417719,33.4536464931141,
950460,960690,950459,129.626269839957,33.22715114591399,160013637.8392146
081168,02P210,970832,129.774984130374,32.715547080103796,164410253.46734065
021091,960777,940098,130.245409569792,31.3737731095866,192609677.51753965
021092,021091,940098,130.380340002066,31.360889523740695,211952170.6744634
021062,950451,940087,130.41883626205498,33.6346919817546,224112692.58557698
021075,940093,950468,130.589915162454,32.3931200536977,161186310.24318168
950485,021075,950468,130.573989411855,32.2301671136214,209988920.31967416
021075,950485,950469,130.672576432167,32.2100079534057,250610096.1325792
021075,960702,940093,130.685929723371,32.48563377839999,159506997.20515612
960705,950471,021078,131.259290708205,33.4690225680195,134690500.64321277
960686,950471,950413,131.14405369639198,33.7204110063282,
950471,960705,950413,131.25741154614,33.6669895260105,
021039,960686,950413,131.125424636151,33.895156739673894,307644253.39861745
950411,021039,950413,131.235263684481,34.0591691507925,200877693.68475902
021039,950411,960669,131.19864073714197,34.1806148206776,328651956.7505665
950452,960710,940089,130.89101515610997,33.3257065307232,137253116.97024202
960710,950452,960688,130.80213457839,33.3244200237201,243447612.7650777
950474,950477,021081,131.338608498966,32.860965787445394,237717170.97557506
02P206,960759,960594,139.610298760548,34.9435731728787,648009186.1635431
93034,960759,93067,139.56762741477598,35.248022664884694,121887615.64226659
960759,93039,93067,139.69344790813497,35.1870380669544,127734699.26801695
93039,960759,02P206,139.74680266545897,35.070948919030194,262776321.18802845
93055,960599,02P206,139.59267358324198,34.562990708597994,
93090,03S045,970819,137.84866037867098,34.9033393906593,41056046.915567696
93095,93098,091178,137.978237759637,34.6450205141304,36664308.05030291
091178,93098,950314,137.606000197116,34.5060407651619,
93098,071160,950314,137.442060016107,34.5290914828596,
93096,93098,93095,137.876924508642,34.695762176456704,49053104.15919624
960606,950264,940048,138.642408279276,35.65867709133509,51038521.4578135
950253,940052,950245,137.52996111845098,37.136338504749006,
940053,02P111,950252,136.88923597404,37.5424447420638,
960755,93019,93011,139.425568272111,35.808644703407396,121080349.88888735
960755,93063,960758,139.320737992854,35.7100916220345,92069335.32815735
93019,960755,960758,139.394107845135,35.7056296452768,111417590.01586023
93024,950226,93021,140.479301821551,35.550742760514304,
950243,950247,960569,138.166674057456,37.0239223904847,157006246.2688228
950243,950235,950245,138.068569225587,37.336887340193094,
950203,11S070,950201,140.90102651153097,37.5730489750011,123384268.48361582
091176,950203,950201,140.84265973212598,37.4732283970572,269267060.70753473
950203,091176,101181,140.92380714657298,37.374372806604896,255129920.99551296
020892,950150,020894,140.954007909528,41.5498579466652,280706167.9598795
950150,020892,02P204,140.83070925395998,41.655013572051004,279079742.24401283
950149,970794,960530,140.23876225791298,41.77478805407159,431299962.8165986
950364,940068,021009,135.95455074524398,34.413978325326596,235654549.74815732
021008,950364,021009,136.061786907222,34.447832091611396,189283304.25391313
940068,950364,960764,135.893629721289,34.507659621593405,212134553.0984397
950364,950334,960764,135.89787680987098,34.6258713269073,204514853.91279724
950334,950364,021007,135.971880058806,34.671415419375904,128091974.03875047
950351,950348,950349,135.22591765583996,34.9077657253149,106901548.29183139
960761,960763,950335,135.656535743058,34.69560535647359,43358955.04203381
960763,950365,960764,135.738723696774,34.600391809447196,76384773.53105241
950365,940068,960764,135.787178664126,34.498390462601996,87802454.30262458
940068,950365,950366,135.748619730405,34.436496919242,112793904.449789
960761,950365,960763,135.671716721475,34.6160746723374,80412200.27137919
041139,03P214,950314,136.49845544933402,34.1523323225436,
03P214,041139,960637,136.33924415205598,34.137239781282,
021010,950367,021009,135.926798670729,34.187600101413004,182384445.00381732
021000,950367,111188,135.86816528132098,33.9955926350799,181657951.61051115
950367,021010,111188,135.843664451649,34.117234971296405,195334627.84809652
021012,031111,950373,135.831502727943,33.7576383105588,58689107.38915031
021012,031113,950376,135.865392165327,33.5875584012507,50611313.298257284
950316,071155,03P214,136.038636419169,33.7735593126327,28917516.163738903
071155,950376,950314,136.22368343595,33.8293359960732,
03P214,071155,950314,136.308514028709,33.944264264096994,
071155,021012,950376,135.910872596829,33.6344618627688,37144241.608470015
071155,950316,031111,135.93726715710898,33.730346869975804,69775381.24534927
021012,071155,031111,135.894333927528,33.7061776881357,59084426.366104625
950320,950319,960639,135.99214641863398,35.2484591005701,179521571.3364143
950319,950322,960639,135.928146319284,35.187820229397,195610325.99157897
950319,950320,950318,135.996301816386,35.3753007388044,109653181.76188979
960763,960760,950335,135.713538782184,34.7825893412052,52995392.370234564
950334,960760,960763,135.77309859893998,34.77230125778309,126846146.71995993
950326,950334,021007,135.973360807383,34.7721700409061,145670246.65482447
950339,950370,950366,135.613519145148,34.3415443431159,120839156.39047433
041130,970826,950373,135.68003371302598,33.7299527993868,150340750.171414
021012,970826,031113,135.79475923932603,33.6053091160017,124854852.11432849
970826,021012,950373,135.777408471243,33.7036731999429,146855267.94142509
950370,960650,051146,135.50130860732398,34.202968020134094,118870734.36201149
960650,950368,051146,135.42393035259,34.214403854436306,167906227.48701647
950339,960650,950370,135.554916392676,34.3160602424475,62749126.01966567
960650,950339,950337,135.518660791932,34.4178775197015,91451916.83578105
950368,021004,940069,135.25294065327,34.2433372258098,118447786.74092612
960652,02P117,950369,135.12823916466598,34.1435846860614,91684512.5221577
02P117,960652,940069,135.18007320074398,34.10566275530039,16542368.902883058
02P117,021004,950369,135.145637164692,34.2439320053259,135400486.77981684
021004,02P117,940069,135.19747120077,34.206010074564894,25968876.93907673
950372,960652,03P215,135.157731028518,33.9268858164489,12050928.70420855
960652,950372,031109,135.19920263760898,34.0066299072423,74164373.28668237
960652,950422,03P215,134.986984611534,33.8990181044988,
021046,950428,940077,133.49538395985002,34.1935943739258,
071161,020997,950306,137.33928666780298,34.7015153824119,105019746.71948624
041136,071161,071160,137.587144199571,34.6814685446295,38914888.440242834
950306,950307,950314,137.04180177926702,34.500329112717594,
950307,031104,950314,136.943115092256,34.465416986945996,73707523.91898163
031104,940065,950314,136.870809436878,34.4174715503025,128698921.93243991
950317,950260,940056,136.15343493483599,35.6473261955382,108938454.48335853
950260,960580,940056,136.10611882691998,35.7404868015459,155133799.38494387
950352,960649,950354,134.91019179491698,34.8392050300701,116996512.70074306
950345,960649,950349,135.01784533181998,34.98708956647079,180042052.65455264
960649,950352,950349,135.026059596978,34.8918098390631,156241931.49615222
960645,950327,950382,134.35005751728,35.882692707533096,
960640,950327,960645,134.948053681683,35.6826420332679,76506471.28403258
950327,950252,950382,135.09728086413898,36.6257162230839,
02P112,950327,020975,135.776765225574,36.0352826600118,
950327,950259,020975,135.723738082152,35.932103320311,
020878,05S051,940009,145.02795342090002,43.1026680407928,95640097.35090673
940009,05S051,950167,144.022910455248,41.849444269036795,
020878,950118,950113,145.009714281663,43.3790335898073,203058323.3846871
05S050,960519,950119,145.653045442113,43.29237797723519,43552532.27328182
960502,020853,020854,142.80954251751,44.4824963368302,429287447.628163
020853,960502,970780,142.73690717510402,44.63177372359859,382353263.2708863
960502,020854,940002,143.027191147137,44.444895538286104,305722546.7316492
950103,960502,940002,142.89428629895102,44.6682410688327,
970780,960502,950103,142.725548871048,44.783724507667195,
950126,950120,020875,140.477458932525,43.219048680564896,244934376.74700904
950106,950120,970785,141.08512889278498,43.776941503369805,
950120,950106,020875,140.7543928197,43.6757432642058,
950130,950140,960525,140.561056741908,42.6118893742344,516638401.2369933
950140,950131,020888,140.18570736059996,42.6511096838112,350070868.43292236
020888,950131,020875,140.193732861303,42.926530327658995,
950131,950126,020875,140.356181531478,43.0503487149153,
950130,950131,950140,140.382934715892,42.690233059749,500647388.8950016
081173,960533,950141,141.535842640236,41.902468013465395,
960533,940016,950141,141.94327706605202,42.076753451178604,
960533,081173,020894,141.213957042015,41.564127921525,
940016,960533,950142,142.11233636843102,41.9989103426013,
960533,950158,950142,141.895204623777,41.3484051672912,
940016,020890,950141,142.25935682158197,42.459901158575995,292179283.53927666
020890,940016,950142,142.428416123961,42.3820580499987,199084532.03529814
950146,950140,950143,140.377141075314,42.2746514527326,435250508.5005901
970794,950146,950143,140.382819977367,42.0881674473315,371187954.4145649
940022,960529,02P204,140.715195089865,41.85728397132149,22819842.943541326
020892,940022,02P204,140.786486863308,41.7785933881668,46420062.86173232
950136,950139,950141,141.66048776447698,42.5579459437836,
960755,960754,93063,139.25817818279398,35.799289489688995,111849110.7077327
950110,020857,970782,142.258146532623,44.1747082170537,317486469.8244449
950107,020857,020858,142.528324702104,44.1870774830034,165898337.085425
020857,950107,970782,142.41609674268898,44.2706286133881,277114535.3445929
950167,940019,111184,142.345423714032,40.3959034846521,
960505,970784,940004,144.4774014816,43.87136518472399,384610787.51715
970784,020870,940004,144.61930111021798,43.72375957409459,317852762.20948577
960503,02P202,020859,144.28389232111797,44.0969785234671,
950108,02P202,960503,143.96268140208898,44.096591701819804,
02P202,940004,020859,144.63724746206998,43.99564470119609,
02P202,960505,940004,144.403870062144,43.970232548998794,49853453.90123523
950116,020878,950113,144.89618098612797,43.3877530137777,306598396.694585
020870,950116,950113,144.81229468892997,43.49698797518911,165999005.74840942
950112,05S053,940010,143.985941192544,42.8417402521812,
950378,021014,021016,134.023828766751,35.4897223841622,92540560.43216713
02P118,091180,960645,134.42781453080102,35.59697184647669,14723500.14498356
091180,081167,960645,134.48632982202002,35.5776203014914,117291274.88356794
081167,960655,950341,134.452978897446,35.441060312855996,162691026.17241862
091180,960655,081167,134.368975052004,35.4910426217919,183865847.23483008
021014,960655,02P118,134.26540259695201,35.491446257091,144001052.62131676
960655,091180,02P118,134.310459760785,35.510394166777196,16631243.923004191
960655,970823,950341,134.48521335367798,35.356974665595,201178869.33510005
970823,960655,950390,134.397604052151,35.244617449107,349721843.3266162
950328,960640,960645,134.867751866001,35.6170914189849,199447973.66873136
021026,021015,950379,133.524970847532,35.3749383493803,214511327.11332065
950383,960656,950382,133.10740585487397,35.9770797778821,
960656,021015,950382,133.277641116312,35.781674863994404,
021018,960656,950383,133.00145361115798,35.7126463135398,
970829,940086,031118,132.35906828278198,33.3485188549293,232724771.92028376
960680,940086,970829,132.4013532072,33.4849763204847,232645993.23190624
940086,970828,031118,132.21599849119198,33.343051186750806,365004609.91261613
940086,960680,960672,132.362353850859,33.6601456657983,411207812.43096507
021035,960768,061151,132.70756376641498,34.3337829763302,233201335.18331274
950434,960680,031117,132.565385642316,33.611487406444205,146715299.3127907
950436,950434,031117,132.63409752710697,33.556549516116,179860842.06284207
960659,960658,021025,131.88287386032,34.541588297053195,176375445.80215454
940076,960659,021025,131.748492689781,34.5567306739974,189893420.3939514
021037,960659,940076,131.723499376029,34.413720607767594,432450944.2611483
950409,940076,950407,131.51675106626098,34.4432518573473,285915627.9529822
950409,021037,940076,131.62300109352898,34.361730932921695,314947174.4028263
021037,950409,950412,131.596486115292,34.175331445068,214267105.21912822
950411,950409,950407,131.428662146034,34.3009312668297,243222022.58196098
950409,950411,950412,131.466750486819,34.1734040901561,235562791.66584814
021024,02P209,950388,132.01973930574,34.8107198008779,115294603.09148036
960658,021024,950388,132.002188897623,34.7019809951793,190646004.1790625
02P209,021024,940075,132.115006921359,34.8892011946203,109516800.53913291
021024,950399,940075,132.18537318402898,34.8324024600618,217536948.95687988
021021,950384,950386,132.626586134988,35.267021932767896,112782931.37590961
950384,021021,021020,132.758363692581,35.3082748687284,159364332.6509748
021023,950400,061151,132.611980002414,34.6724326013142,237044270.77518052
021030,950385,021020,132.920112099456,35.176665320666096,128979044.15710859
031126,021058,950449,132.76867094175302,32.8513066084599,118929480.35602137
031126,950449,021059,132.67667078268897,32.77716183967829,117097229.7687364
940085,031126,02P211,132.382217860926,32.3616991601013,
